RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
1049528,2016906637,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/01/2016 01:13:00 PM,09/28/2016 01:30:00 PM,09/28/2016 04:00:00 PM,57XX BLOCK OF 26 AV NE,U,U3,4301.2004,-122.299575806,47.671070099,"(47.671070099, -122.299575806)",10,2016
1049955,2016906546,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/25/2016 09:37:00 PM,07/20/2016 09:10:00 PM,07/21/2016 09:10:00 PM,22XX BLOCK OF FAIRVIEW AV E,D,D3,6600.2006,-122.329460144,47.638988495,"(47.638988495, -122.329460144)",9,2016
1050026,2016361838,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/05/2016 09:56:00 PM,10/05/2016 07:45:00 PM,10/05/2016 08:45:00 PM,16XX BLOCK OF 4 AV,M,M2,8100.2001,-122.338050842,47.61170578,"(47.61170578, -122.338050842)",10,2016
1050194,2016306373,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,08/24/2016 04:37:00 PM,08/24/2016 04:37:00 PM,,25XX BLOCK OF 32 AV W,Q,Q1,5700.3014,-122.3983078,47.642173767,"(47.642173767, -122.3983078)",8,2016
1050327,2016349513,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/26/2016 03:12:00 PM,09/25/2016 06:30:00 PM,09/25/2016 08:00:00 PM,NE 44 ST / 36 AV NE,U,U3,4100.5020,-122.289230347,47.66053772,"(47.66053772, -122.289230347)",9,2016
1050752,2016903270,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/06/2016 04:12:00 PM,05/04/2016 12:00:00 PM,05/05/2016 12:00:00 PM,20XX BLOCK OF FAIRVIEW AV E,D,D3,6600.1030,-122.329406738,47.637435913,"(47.637435913, -122.329406738)",5,2016
1050943,2016323437,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/06/2016 03:55:00 PM,09/06/2016 02:00:00 PM,09/06/2016 02:40:00 PM,3XX BLOCK OF 9 AV,G,G1,8500.3001,-122.323440552,47.604129791,"(47.604129791, -122.323440552)",9,2016
1050990,2016364740,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/08/2016 05:23:00 AM,10/08/2016 04:31:00 AM,,5XX BLOCK OF OLIVE WY,M,M2,7300.3033,-122.336837769,47.612895966,"(47.612895966, -122.336837769)",10,2016
1051160,2016906739,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/04/2016 02:36:00 PM,09/15/2016 06:30:00 PM,09/15/2016 06:30:00 PM,SUMMIT AV / E PINE ST,E,E1,8400.1004,-122.325531006,47.615219116,"(47.615219116, -122.325531006)",10,2016
1051208,2016906755,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/02/2016 06:50:00 PM,10/15/2015 12:00:00 AM,10/15/2015 04:00:00 AM,65XX BLOCK OF 4 AV NE,J,J3,3600.4011,-122.325294495,47.676872253,"(47.676872253, -122.325294495)",10,2016
